test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;errors;fpr
7349572;69.9;32.828;2.12928;16.27;4.29625;12.277;5.69357;10.057;6.95038;8.917;7.83896;8.487;8.23613;7.797;8.96499;7.033;9.93886;1146;0.01146
7553449;71.41;33.696;2.11924;16.8;4.2506;12.759;5.59683;10.374;6.88356;9.153;7.80181;8.549;8.35302;7.875;9.06794;7.297;9.78621;1143;0.01143
7757326;74.346;34.629;2.14693;17.215;4.31868;13.314;5.58405;11.009;6.7532;9.38;7.92601;8.667;8.57805;8.143;9.13005;7.52;9.88644;1160;0.0116
7961203;75.203;35.658;2.10901;17.657;4.2591;13.572;5.54104;11.101;6.77443;9.547;7.87713;9.18;8.19205;8.437;8.91348;7.831;9.60324;1178;0.01178
8165080;77.707;36.382;2.13586;18.134;4.28515;13.721;5.66336;11.525;6.74247;9.925;7.82942;9.242;8.40803;8.749;8.88181;8.292;9.37132;1154;0.01154
8368957;90.487;37.748;2.39713;19.441;4.65444;15.042;6.01562;11.744;7.70496;11.552;7.83302;9.577;9.44837;9.194;9.84196;7.577;11.9423;1189;0.01189
8572834;91.719;38.465;2.38448;19.921;4.60414;14.802;6.19639;12.279;7.46958;10.317;8.89008;10.272;8.92903;9.288;9.875;7.921;11.5792;1166;0.01166
8776711;94.973;39.253;2.41951;20.366;4.66331;15.238;6.23264;12.332;7.70135;10.474;9.0675;9.925;9.56907;9.083;10.4561;8.156;11.6446;1181;0.01181
8980588;94.406;40.531;2.32923;20.494;4.60652;15.034;6.2795;12.423;7.59929;10.537;8.95948;10.258;9.20316;9.379;10.0657;8.325;11.3401;1230;0.0123
9184465;99.441;41.142;2.41702;21.169;4.69748;15.66;6.35;13.607;7.30808;11.278;8.81725;10.329;9.62736;9.531;10.4334;8.47;11.7404;1123;0.01123
9388342;98.257;41.887;2.34576;21.952;4.47599;15.928;6.16882;13.26;7.41003;11.924;8.24027;10.963;8.9626;9.885;9.94001;8.699;11.2952;1182;0.01182
9592219;104.363;43.093;2.42181;21.83;4.78071;16.171;6.45371;13.894;7.51137;12.074;8.64361;10.702;9.75173;9.847;10.5985;8.838;11.8084;1190;0.0119
9796096;103.781;43.692;2.37529;22.974;4.51732;16.946;6.12422;13.773;7.5351;12.388;8.37754;10.663;9.73281;10.091;10.2845;9.067;11.446;1227;0.01227
9999973;106.604;44.914;2.37351;22.533;4.73102;17.316;6.15639;14.889;7.15992;12.487;8.5372;11.575;9.20985;10.25;10.4004;9.235;11.5435;1234;0.01234
