test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.009;0.004;2.250;0.005;1.800;0.006;1.500;0.005;1.800;0.005;1.800;0.004;2.250;0.003;3.000;0.003;3.000;0.059;
1112000;9.868;4.911;2.009;2.461;4.010;1.878;5.255;1.543;6.395;1.457;6.773;1.301;7.585;1.106;8.922;0.902;10.940;0.050;
2223000;19.734;9.778;2.018;4.937;3.997;3.781;5.219;3.180;6.206;3.176;6.213;2.462;8.015;2.141;9.217;1.794;11.000;0.050;
3334000;29.779;14.667;2.030;7.396;4.026;5.576;5.341;4.835;6.159;4.033;7.384;3.969;7.503;3.546;8.398;2.853;10.438;0.050;
4445000;39.485;19.592;2.015;9.782;4.036;7.504;5.262;6.465;6.108;6.512;6.063;5.237;7.540;4.654;8.484;3.858;10.235;0.051;
5556000;49.607;24.471;2.027;12.235;4.055;9.329;5.318;7.961;6.231;6.783;7.313;6.277;7.903;5.466;9.076;5.050;9.823;0.051;
6667000;59.544;29.392;2.026;14.748;4.037;11.189;5.322;9.666;6.160;8.883;6.703;7.524;7.914;6.924;8.600;6.006;9.914;0.051;
7778000;69.227;34.272;2.020;17.131;4.041;13.385;5.172;11.031;6.276;9.410;7.357;9.123;7.588;7.831;8.840;7.258;9.538;0.051;
8889000;79.011;39.152;2.018;19.607;4.030;15.243;5.183;12.858;6.145;10.852;7.281;10.605;7.450;9.252;8.540;8.087;9.770;0.051;
10000000;88.904;44.006;2.020;22.197;4.005;17.051;5.214;15.172;5.860;12.613;7.049;11.200;7.938;10.018;8.874;9.206;9.657;0.051;
